intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.07324,0.082241,0.088842,0.033813,0.0132,0.899519,0.006566,500,1
0.109096,0.151061,0.128461,0.057479,0.050036,0.853352,0.023471,50,0
0.121206,0.169305,0.254365,0.057838,0.145609,0.781269,0.026781,500,1
0.075434,0.087029,0.088314,0.096049,0.145814,0.895862,0.00947,10,0
0.139265,0.145709,0.260806,0.090222,0.158955,0.719115,0.019784,50,1
0.104671,0.085875,0.104529,0.050357,0.107643,0.890707,0.04104,20,0
0.1126,0.111537,0.125911,0.037879,0.127163,0.87605,0.011426,50,0
0.145412,0.143633,0.107001,0.033137,0.069265,0.840945,0.017621,20,0
0.160322,0.129916,0.187396,0.02201,0.015924,0.817777,0.012546,2000,0
0.143603,0.147627,0.151594,0.046464,0.140462,0.852831,0.037619,100,0
0.262062,0.28562,0.248619,0.0067,0.093013,0.723816,0.008639,10,0
0.106148,0.191244,0.148042,0.061267,0.122782,0.791428,0.036145,50,0
0.106461,0.033634,0.111454,0.007637,0.061274,0.887795,0.019325,20,0
0.22855,0.187629,0.142627,0.040511,0.127524,0.775142,0.02296,200,0
0.094987,0.073803,0.091357,0.017372,0.073099,0.883337,0.021384,10,0
0.169442,0.202718,0.232474,0.044263,0.091653,0.805891,0.01661,20,0
0.137574,0.194241,0.138276,0.011729,0.137684,0.782562,0.016339,50,0
0.089803,0.096016,0.113544,0.07345,0.094523,0.887153,0.038508,10,1
0.141142,0.149805,0.062858,0.04886,0.094143,0.883336,0.018803,100,0
0.165472,0.167336,0.169363,0.044338,0.196925,0.830024,0.02306,200,0
0.105588,0.103684,0.103378,0.03909,0.036486,0.89123,0.008457,20,0
0.10019,0.09371,0.095052,0.092776,0.104953,0.889934,0.052893,100,1
0.056211,0.048782,0.120029,0.011311,0.012804,0.914511,0.004358,10,0
0.121887,0.147731,0.147846,0.040829,0.112052,0.874224,0.005969,20,0
0.162799,0.146825,0.206974,0.050402,0.121276,0.827335,0.013488,500,0
0.208859,0.252949,0.168327,0.031408,0.069009,0.784484,0.023636,50,0
0.138663,0.136963,0.125798,0.024107,0.01831,0.835151,0.013957,200,1
0.092526,0.124513,0.163218,0.052054,0.110197,0.844721,0.023475,50,0
0.223132,0.205158,0.030609,0.034846,0.075592,0.752491,0.029327,10,0
0.125449,0.160704,0.156777,0.073694,0.111302,0.783006,0.023077,10,0
0.101657,0.113832,0.126844,0.058841,0.127832,0.874116,0.036157,200,0
0.162158,0.116526,0.116218,0.035236,0.091901,0.828095,0.024196,500,0
0.10417,0.128722,0.087181,0.005528,0.070812,0.900184,0.007199,50,0
0.142623,0.139918,0.100771,0.018018,0.136907,0.814363,0.019639,50,0
0.154934,0.14986,0.120296,0.06094,0.178459,0.835437,0.051136,500,0
0.088622,0.138712,0.135434,0.048019,0.029755,0.862062,0.00677,100,0
0.094866,0.133042,0.148479,0.142715,0.181896,0.797592,0.050704,100,0
0.150331,0.157647,0.09983,0.040624,0.137922,0.839298,0.034338,20,0
0.159772,0.174758,0.153571,0.018198,0.103161,0.828046,0.010401,20,0
0.10925,0.107235,0.102602,0.034353,0.085422,0.880459,0.028067,200,0
0.219084,0.144928,0.106582,0.02173,0.070895,0.822444,0.025647,200,0
0.077063,0.138254,0.193344,0.036281,0.069246,0.807717,0.016288,500,1
0.182304,0.17343,0.033207,0.02959,0.113248,0.82616,0.005073,20,0
0.159346,0.205659,0.289461,0.135509,0.236766,0.751298,0.063585,500,1
0.144446,0.148503,0.093851,0.106935,0.169393,0.833648,0.071741,50,0
0.127434,0.225695,0.155707,0.074991,0.111378,0.740598,0.013936,50,0
